Função,Nome,Associação,Perfil de arbitragem FIFA 2026,Como avaliar individualmente,Fonte,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,var_intervencao_simulada_0_10,penalti_tendencia_simulada_0_10,observacao_simulacao
Referee,ELFATH Ismail,USA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.0,7.7,4.8,4.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ESKAS Espen,NOR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.4,6.6,6.0,7.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,FAGHANI Alireza,AUS,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.6,7.8,5.3,5.4,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,FALCON PEREZ Yael,ARG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.7,6.3,7.0,4.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,FISCHER Drew,CAN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.4,7.9,5.9,4.8,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,GARAY Cristian,CHI,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.8,7.6,6.4,6.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,GARCIA Katia,MEX,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.7,7.9,5.0,6.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,GHORBAL Mustapha,ALG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.3,6.3,8.0,6.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,HERNANDEZ Alejandro,ESP,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.0,5.4,6.2,6.7,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,HERRERA Dario,ARG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.8,5.0,7.7,5.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,JAYED Jalal,MAR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.4,5.9,4.8,5.7,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,KAWANA-WAUGH Campbell-Kirk,NZL,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.9,7.7,6.1,5.5,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,KOVACS Istvan,ROU,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.2,6.3,7.2,5.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,LETEXIER Francois,FRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.9,7.2,6.5,6.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MA Ning,CHN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.2,5.1,7.3,5.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MAKHADMEH Adham,JOR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.2,6.3,6.5,5.8,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MAKKELIE Danny,NED,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.3,7.2,5.5,6.7,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MARCINIAK Szymon,POL,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.0,7.0,8.0,6.6,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MARIANI Maurizio,ITA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.2,6.5,7.8,4.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MARTINEZ Hector Said,HON,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.2,7.7,7.2,4.6,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,MOHAMED Amin,EGY,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.2,5.7,5.2,5.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,NATION Oshane,JAM,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.5,7.7,7.5,6.5,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,NYBERG Glenn,SWE,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.2,4.6,5.3,5.6,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,OLIVER Michael,ENG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.3,6.9,8.1,4.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,OMAR AL ALI,UAE,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.7,4.7,6.4,5.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ORTEGA Kevin,PER,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.4,7.9,5.6,4.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,PENSO Tori,USA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.1,5.5,8.1,5.8,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,PINHEIRO Joao,POR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.5,4.5,7.7,7.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,RAMON ABATTI,BRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.2,7.0,5.6,4.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,RAMOS Cesar,MEX,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.9,7.9,5.0,6.6,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ROJAS Andres,COL,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.6,6.3,6.3,4.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,SCHAERER Sandro,SUI,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.1,7.4,6.5,6.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TANTASHEV Ilgiz,UZB,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.5,7.3,5.8,5.8,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TAYLOR Anthony,ENG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.3,6.4,7.5,6.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TEJERA Gustavo,URU,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.1,5.1,5.1,5.8,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TELLO Facundo,ARG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.3,5.7,7.4,4.5,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TOM Abongile,RSA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.0,4.5,7.9,4.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,TURPIN Clement,FRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.9,6.7,5.9,7.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,VALENZUELA Jesus,VEN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.5,7.9,5.6,5.7,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,VINCIC Slavko,SVN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.0,5.1,5.2,5.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,WILTON SAMPAIO,BRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.9,5.1,5.6,7.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ZWAYER Felix,GER,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.2,6.4,5.6,7.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Assistant Referee,ABEIGNE Amos,GAB,"Foco em linha, impedimento e colaboração com tecnologia semiautomática","Com SAOT, a tendência é reduzir erro factual de impedimento; ainda pesa comunicação e posicionamento em lances complexos.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.7,6.8,5.8,7.4,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Assistant Referee,ABOUELREGAL Mahmoud,EGY,"Foco em linha, impedimento e colaboração com tecnologia semiautomática","Com SAOT, a tendência é reduzir erro factual de impedimento; ainda pesa comunicação e posicionamento em lances complexos.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.6,6.9,7.8,6.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Assistant Referee,AKARKAD Mostafa,MAR,"Foco em linha, impedimento e colaboração com tecnologia semiautomática","Com SAOT, a tendência é reduzir erro factual de impedimento; ainda pesa comunicação e posicionamento em lances complexos.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.3,5.4,6.6,4.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Assistant Referee,AL ABAKRY Mohammed,KSA,"Foco em linha, impedimento e colaboração com tecnologia semiautomática","Com SAOT, a tendência é reduzir erro factual de impedimento; ainda pesa comunicação e posicionamento em lances complexos.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.9,7.6,6.9,7.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
