jogo,fase,grupo,data,horaLocal,estadio,cidade,pais,equipe1,equipe2,codigo1,codigo2,placar_simulado,gols1_sim,gols2_sim,xg1_modelo,xg2_modelo,vencedor_simulado,decidido_penaltis,confianca_modelo,forca_equipe1,forca_equipe2,estilo_equipe1,estilo_equipe2,tecnico_equipe1,tecnico_equipe2,arbitro_principal,arbitro_associacao,assistente1,assistente2,var,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,cartoes_equipe1_proxy,cartoes_equipe2_proxy
11,Fase de grupos,F,2026-06-14,15:00,AT&T Stadium,Dallas,Estados Unidos,Países Baixos,Japão,NED,JPN,0-2,0,2,1.14,1.07,Japão,Não,baixa,69.1,67.6,construção controlada e variação com linha de 3,"adaptação, intensidade e transição técnica",KOEMAN Ronald,MORIYASU Hajime,ELFATH Ismail,USA,BRINSI Zakaria,BRUNO BOSCHILIA,EL FARIQ Hamza,8.0,7.7,4,4
12,Fase de grupos,F,2026-06-14,20:00,Estadio BBVA,Monterrey,México,Suécia,Tunísia,SWE,TUN,2-1,2,1,1.2,1.06,Suécia,Não,baixa,58.8,56.1,"flexibilidade, construção e ocupação racional","bloco compacto, físico e contra-ataque",POTTER Graham,RENARD Herve,ESKAS Espen,NOR,BRUNO PIRES,BURT Stuart,EVANS Shaun,6.4,6.6,2,3
13,Fase de grupos,H,2026-06-15,18:00,Hard Rock Stadium,Miami,Estados Unidos,Arábia Saudita,Uruguai,KSA,URU,1-0,1,0,1.08,1.21,Arábia Saudita,Não,baixa,63.4,66.3,"intensidade, meio-campo técnico e transição","pressão homem a homem, ritmo alto e verticalidade",DONIS Georgios,BIELSA Marcelo,FAGHANI Alireza,AUS,CARDOZO Eduardo,CHADE Gabriel,FU Ming,6.6,7.8,4,5
14,Fase de grupos,H,2026-06-15,12:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Espanha,Cabo Verde,ESP,CPV,1-0,1,0,1.39,0.95,Espanha,Não,alta,68.9,59.3,"posse, pressão pós-perda e amplitude","organização, transição e agressividade física",DE LA FUENTE Luis,BUBISTA,FALCON PEREZ Yael,ARG,DANILO MANIS,DANOS Nicolas,GALLO Nicolas,4.7,6.3,3,2
15,Fase de grupos,G,2026-06-15,18:00,SoFi Stadium,Los Angeles,Estados Unidos,Irã,Nova Zelândia,IRN,NZL,2-1,2,1,1.14,1.01,Irã,Não,baixa,64.1,59.9,"defesa compacta, jogo físico e bola parada",bloco baixo/médio e bola aérea,GHALEHNOY Amir,BAZELEY Darren,FISCHER Drew,CAN,DE ALMEIDA Stephane,DE VRIES Jan,GARCIA Antonio,5.4,7.9,1,2
16,Fase de grupos,G,2026-06-15,12:00,Lumen Field,Seattle,Estados Unidos,Bélgica,Egito,BEL,EGY,0-1,0,1,1.32,0.93,Egito,Não,alta,69.8,59.4,posse com veteranos criativos e transição,"verticalidade, Salah como foco e bloco competitivo",GARCIA Rudi,HOSSAM HASSAN,GARAY Cristian,CHI,DEL YESSO Maximiliano,DIETZ Christian,GILLETT Jarred,7.8,7.6,3,4
17,Fase de grupos,I,2026-06-16,15:00,MetLife Stadium,New York/New Jersey,Estados Unidos,França,Senegal,FRA,SEN,1-1,1,1,1.12,1.2,Empate,Não,baixa,63.8,66.0,"pragmatismo, transição e superioridade física","potência, transição e bloco atlético",DESCHAMPS Didier,THIAW Pape,GARCIA Katia,MEX,DITSOGA Boris,ENGAN Jan Erik,GONZALEZ Leodan,6.7,7.9,3,4
18,Fase de grupos,I,2026-06-16,18:00,Gillette Stadium,Boston,Estados Unidos,Iraque,Noruega,IRQ,NOR,0-2,0,2,0.99,1.25,Noruega,Não,média,57.5,64.3,"organização, jogo direto e competitividade","verticalidade, jogo para Haaland e força aérea",ARNOLD Graham,SOLBAKKEN Stale,GHORBAL Mustapha,ALG,FIGUEIREDO Rodrigo,GAYNULLIN Timur,GUZMAN Tatiana,6.3,6.3,3,3
19,Fase de grupos,J,2026-06-16,20:00,Arrowhead Stadium,Kansas City,Estados Unidos,Argentina,Argélia,ARG,ALG,2-0,2,0,1.21,0.99,Argentina,Não,média,70.9,64.8,"controle, flexibilidade e competitividade","posse moderada, experiência e jogo pelos lados",SCALONI Lionel,PETKOVIC Vladimir,HERNANDEZ Alejandro,ESP,GOURARI Mokrane,GUZMAN Alexander,HIGLER Dennis,8.0,5.4,3,3
20,Fase de grupos,J,2026-06-16,21:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Áustria,Jordânia,AUT,JOR,0-1,0,1,1.3,0.95,Jordânia,Não,média,67.6,60.2,"gegenpressing, verticalidade e pressão constante",bloco compacto e transição,RANGNICK Ralf,SELLAMI Jamal,HERRERA Dario,ARG,HOSSAM TAHA Ahmed,JERSON SANTOS,KWIATKOWSKI Tomasz,6.8,5.0,4,3
21,Fase de grupos,L,2026-06-17,19:00,BMO Field,Toronto,Canadá,Gana,Panamá,GHA,PAN,0-1,0,1,0.87,1.34,Panamá,Não,alta,56.1,69.2,"bloco baixo, disciplina defensiva e contra-ataque","5-4-1, bloco baixo e contra-ataque",CARLOS QUEIROZ,CHRISTIANSEN Thomas,JAYED Jalal,MAR,JESUS Bruno,KEMPTER Robert,LARA Juan,6.4,5.9,3,2
22,Fase de grupos,L,2026-06-17,15:00,AT&T Stadium,Dallas,Estados Unidos,Inglaterra,Croácia,ENG,CRO,2-4,2,4,1.12,1.15,Croácia,Não,baixa,67.2,68.2,"controle, pressão em momentos e qualidade entrelinhas","controle de meio, experiência e ritmo cadenciado",TUCHEL Thomas,DALIC Zlatko,KAWANA-WAUGH Campbell-Kirk,NZL,KLANCNIK Tomaz,KOVACIC Andraz,MASTRANGELO Hernan,5.9,7.7,4,3
23,Fase de grupos,K,2026-06-17,12:00,NRG Stadium,Houston,Estados Unidos,Portugal,RD Congo,POR,COD,1-1,1,1,1.36,0.91,Empate,Não,alta,71.1,61.0,"posse, amplitude e talento associativo",transição atlética e organização defensiva,MARTINEZ Roberto,DESABRE Sebastien,KOVACS Istvan,ROU,LAKRINDIS George,LINDSAY James,MIRANDA Erick,6.2,6.3,4,3
24,Fase de grupos,K,2026-06-17,20:00,Estadio Azteca,Mexico City,México,Uzbequistão,Colômbia,UZB,COL,2-1,2,1,0.94,1.31,Uzbequistão,Não,alta,59.9,67.8,organização defensiva e transição cautelosa,"equilíbrio, lado forte ofensivo e transição",CANNAVARO Fabio,LORENZO Nestor,LETEXIER Francois,FRA,LISTKIEWICZ Tomasz,LOPEZ Walter,MOHAMMED OBAID KHADIM,4.9,7.2,2,2
25,Fase de grupos,A,2026-06-18,12:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Tchéquia,África do Sul,CZE,RSA,0-2,0,2,1.18,1.1,África do Sul,Não,baixa,61.8,59.3,"jogo físico, direto e forte em bolas paradas",bloco compacto e contra-ataque,KOUBEK Miroslav,BROOS Hugo,MA Ning,CHN,MAIA Luciano,MAINWARING James,PACHECO Guillermo,7.2,5.1,4,4
26,Fase de grupos,B,2026-06-18,12:00,SoFi Stadium,Los Angeles,Estados Unidos,Suíça,Bósnia e Herzegovina,SUI,BIH,1-0,1,0,1.39,0.82,Suíça,Não,alta,70.1,55.0,"sistema flexível, bloco médio e eficiência","jogo direto, experiência e cruzamentos",YAKIN Murat,BARBAREZ Sergej,MAKHADMEH Adham,JOR,MARICA Mihai,MAYO Brooke,SAN Fedayi,4.2,6.3,2,1
27,Fase de grupos,B,2026-06-18,15:00,BC Place,Vancouver,Canadá,Canadá,Catar,CAN,QAT,0-1,0,1,1.32,1.11,Catar,Não,baixa,67.0,66.6,"pressão alta, verticalidade e transição rápida","posse, saída curta e controle territorial",MARSCH Jesse,LOPETEGUI Julen,MAKKELIE Danny,NED,MIHARA Jun,MORA Juan Carlos,SOTO Juan,7.3,7.2,5,4
28,Fase de grupos,A,2026-06-18,19:00,Estadio Akron,Guadalajara,México,México,Coreia do Sul,MEX,KOR,0-2,0,2,1.33,1.07,Coreia do Sul,Não,média,67.9,67.4,"pragmático, competitivo, transição e bola parada","intensidade, velocidade e jogo pelos lados",AGUIRRE Javier,HONG Myungbo,MARCINIAK Szymon,POL,MORAN David,MORENO Tulio,TOSKI Rodolpho,8.0,7.0,4,4
29,Fase de grupos,C,2026-06-19,21:00,Lincoln Financial Field,Philadelphia,Estados Unidos,Brasil,Haiti,BRA,HAI,3-0,3,0,1.38,0.96,Brasil,Não,alta,67.9,59.2,"equilíbrio, liberdade ofensiva e transição de elite","bloco baixo, luta física e transições",ANCELOTTI Carlo,MIGNE Sebastien,MARIANI Maurizio,ITA,MORIN Alberto,MUGNIER Cyril,VAN DRIESSCHE Bram,7.2,6.5,4,3
30,Fase de grupos,C,2026-06-19,18:00,Gillette Stadium,Boston,Estados Unidos,Escócia,Marrocos,SCO,MAR,3-1,3,1,1.22,0.99,Escócia,Não,média,68.9,63.5,"linha de 5, intensidade e bola parada",organização defensiva e contra-ataque,CLARKE Steve,OUAHBI Mohamed,MARTINEZ Hector Said,HON,NARANJO PEREZ Jose Enrique,NAVARRO Cristian,VILLARREAL Armando,8.2,7.7,4,4
31,Fase de grupos,D,2026-06-19,20:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Turquia,Paraguai,TUR,PAR,2-0,2,0,1.3,0.87,Turquia,Não,alta,69.0,59.7,posse vertical e talento entrelinhas,"bloco baixo/médio, duelos e jogo reativo",MONTELLA Vincenzo,ALFARO Gustavo,MOHAMED Amin,EGY,NESBITT Kathryn,NOUPUE Elvis,AL-MARRI Khamis,4.2,5.7,3,2
32,Fase de grupos,D,2026-06-19,12:00,Lumen Field,Seattle,Estados Unidos,Estados Unidos,Austrália,USA,AUS,0-0,0,0,1.56,0.92,Empate,Não,alta,71.0,60.9,"pressão, energia e 4-2-3-1 agressivo","organização, força física e jogo direto",POCHETTINO Mauricio,POPOVIC Tony,NATION Oshane,JAM,NUNN Adam,ORUE Michael,ALSHEHRI Abdullah,5.5,7.7,4,3
33,Fase de grupos,E,2026-06-20,16:00,BMO Field,Toronto,Canadá,Alemanha,Costa do Marfim,GER,CIV,3-2,3,2,1.18,0.98,Alemanha,Não,média,69.5,63.2,"pressão, rotação posicional e jogo entrelinhas","força física, transição e ataques pelos lados",NAGELSMANN Julian,FAE Emerse,NYBERG Glenn,SWE,PAGES Benjamin,PARKER Corey,ASHOUR Mahmoud,8.2,4.6,5,4
34,Fase de grupos,E,2026-06-20,19:00,Arrowhead Stadium,Kansas City,Estados Unidos,Equador,Curaçao,ECU,CUW,5-0,5,0,1.23,1.06,Equador,Não,baixa,61.9,59.5,"pressão, intensidade e laterais altos","pragmatismo, bloco compacto e experiência",BECCACECE Sebastian,ADVOCAAT Dick,OLIVER Michael,ENG,PUPIRO Antonio,RAFAEL ALVES,BEBEK Ivan,4.3,6.9,3,2
35,Fase de grupos,F,2026-06-20,12:00,NRG Stadium,Houston,Estados Unidos,Países Baixos,Suécia,NED,SWE,2-0,2,0,1.31,0.91,Países Baixos,Não,alta,69.1,58.8,construção controlada e variação com linha de 3,"flexibilidade, construção e ocupação racional",KOEMAN Ronald,POTTER Graham,OMAR AL ALI,UAE,RAHMOUNI Mehdi,RAMIREZ Christian,BRISARD Jerome,7.7,4.7,4,3
36,Fase de grupos,F,2026-06-20,22:00,Estadio BBVA,Monterrey,México,Tunísia,Japão,TUN,JPN,1-1,1,1,0.9,1.39,Empate,Não,alta,56.1,67.6,"bloco compacto, físico e contra-ataque","adaptação, intensidade e transição técnica",RENARD Herve,MORIYASU Hajime,ORTEGA Kevin,PER,RAMIREZ Sandra,RETAMAL Jose,DANKERT Bastian,7.4,7.9,4,4
37,Fase de grupos,H,2026-06-21,18:00,Hard Rock Stadium,Miami,Estados Unidos,Uruguai,Cabo Verde,URU,CPV,2-0,2,0,1.24,0.94,Uruguai,Não,média,66.3,59.3,"pressão homem a homem, ritmo alto e verticalidade","organização, transição e agressividade física",BIELSA Marcelo,BUBISTA,PENSO Tori,USA,ROCHA Miguel,RODRIGUEZ Facundo,DEL CERRO GRANDE Carlos,7.1,5.5,4,4
38,Fase de grupos,H,2026-06-21,12:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Espanha,Arábia Saudita,ESP,KSA,2-0,2,0,1.31,1.04,Espanha,Não,média,68.9,63.4,"posse, pressão pós-perda e amplitude","intensidade, meio-campo técnico e transição",DE LA FUENTE Luis,DONIS Georgios,PINHEIRO Joao,POR,SALDIVAR Milciades,SANCHEZ Diego,DELAJOD Willy,4.5,4.5,3,3
39,Fase de grupos,G,2026-06-21,12:00,SoFi Stadium,Los Angeles,Estados Unidos,Bélgica,Irã,BEL,IRN,0-0,0,0,1.24,0.98,Empate,Não,média,69.8,64.1,posse com veteranos criativos e transição,"defesa compacta, jogo físico e bola parada",GARCIA Rudi,GHALEHNOY Amir,RAMON ABATTI,BRA,SIWELA Zakhele,SODERKVIST Andreas,DI BELLO Marco,8.2,7.0,3,3
40,Fase de grupos,G,2026-06-21,18:00,BC Place,Vancouver,Canadá,Nova Zelândia,Egito,NZL,EGY,0-2,0,2,1.12,1.13,Egito,Não,baixa,59.9,59.4,bloco baixo/médio e bola aérea,"verticalidade, Salah como foco e bloco competitivo",BAZELEY Darren,HOSSAM HASSAN,RAMOS Cesar,MEX,STEEGSTRA Hessel,TARAN Nicolas,DICKERSON Joe,5.9,7.9,2,3
41,Fase de grupos,I,2026-06-22,20:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Noruega,Senegal,NOR,SEN,1-2,1,2,1.09,1.18,Senegal,Não,baixa,64.3,66.0,"verticalidade, jogo para Haaland e força aérea","potência, transição e bloco atlético",SOLBAKKEN Stale,THIAW Pape,ROJAS Andres,COL,TEGONI Alberto,TREVIS Isaac,EL FARIQ Hamza,7.6,6.3,4,4
42,Fase de grupos,I,2026-06-22,17:00,Lincoln Financial Field,Philadelphia,Estados Unidos,França,Iraque,FRA,IRQ,1-1,1,1,1.28,1.0,Empate,Não,média,63.8,57.5,"pragmatismo, transição e superioridade física","organização, jogo direto e competitividade",DESCHAMPS Didier,ARNOLD Graham,SCHAERER Sandro,SUI,TSAPENKO Andrey,TUNYOGI Ferencz,EVANS Shaun,5.1,7.4,3,2
43,Fase de grupos,J,2026-06-22,12:00,AT&T Stadium,Dallas,Estados Unidos,Argentina,Áustria,ARG,AUT,0-1,0,1,1.18,1.03,Áustria,Não,baixa,70.9,67.6,"controle, flexibilidade e competitividade","gegenpressing, verticalidade e pressão constante",SCALONI Lionel,RANGNICK Ralf,TANTASHEV Ilgiz,UZB,URREGO Jorge,WALES Caleb,FU Ming,5.5,7.3,3,4
44,Fase de grupos,J,2026-06-22,20:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Jordânia,Argélia,JOR,ALG,0-2,0,2,0.98,1.24,Argélia,Não,média,60.2,64.8,bloco compacto e transição,"posse moderada, experiência e jogo pelos lados",SELLAMI Jamal,PETKOVIC Vladimir,TAYLOR Anthony,ENG,ZERHOUNI Abbes Akram,ZHOU Fei,GALLO Nicolas,6.3,6.4,2,3
45,Fase de grupos,L,2026-06-23,16:00,Gillette Stadium,Boston,Estados Unidos,Inglaterra,Gana,ENG,GHA,2-0,2,0,1.38,0.96,Inglaterra,Não,alta,67.2,56.1,"controle, pressão em momentos e qualidade entrelinhas","bloco baixo, disciplina defensiva e contra-ataque",TUCHEL Thomas,CARLOS QUEIROZ,TEJERA Gustavo,URU,ABEIGNE Amos,ABOUELREGAL Mahmoud,GARCIA Antonio,5.1,5.1,3,3
46,Fase de grupos,L,2026-06-23,19:00,BMO Field,Toronto,Canadá,Panamá,Croácia,PAN,CRO,0-2,0,2,1.11,1.1,Croácia,Não,baixa,69.2,68.2,"5-4-1, bloco baixo e contra-ataque","controle de meio, experiência e ritmo cadenciado",CHRISTIANSEN Thomas,DALIC Zlatko,TELLO Facundo,ARG,AKARKAD Mostafa,AL ABAKRY Mohammed,GILLETT Jarred,5.3,5.7,3,2
47,Fase de grupos,K,2026-06-23,12:00,NRG Stadium,Houston,Estados Unidos,Portugal,Uzbequistão,POR,UZB,1-1,1,1,1.4,0.89,Empate,Não,alta,71.1,59.9,"posse, amplitude e talento associativo",organização defensiva e transição cautelosa,MARTINEZ Roberto,CANNAVARO Fabio,TOM Abongile,RSA,AL HAMMADI Mohamed,AL KALAF Mohammad,GONZALEZ Leodan,5.0,4.5,3,2
48,Fase de grupos,K,2026-06-23,20:00,Estadio Akron,Guadalajara,México,Colômbia,RD Congo,COL,COD,3-0,3,0,1.25,0.96,Colômbia,Não,média,67.8,61.0,"equilíbrio, lado forte ofensivo e transição",transição atlética e organização defensiva,LORENZO Nestor,DESABRE Sebastien,TURPIN Clement,FRA,AL MAQALEH Saoud,AL MARRI Taleb,GUZMAN Tatiana,4.9,6.7,4,2
49,Fase de grupos,C,2026-06-24,18:00,Hard Rock Stadium,Miami,Estados Unidos,Escócia,Brasil,SCO,BRA,1-2,1,2,1.15,1.15,Brasil,Não,baixa,68.9,67.9,"linha de 5, intensidade e bola parada","equilíbrio, liberdade ofensiva e transição de elite",CLARKE Steve,ANCELOTTI Carlo,VALENZUELA Jesus,VEN,AL ROALLE Ahmad,ARFA Lyes,HIGLER Dennis,6.5,7.9,4,4
50,Fase de grupos,C,2026-06-24,18:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Marrocos,Haiti,MAR,HAI,0-0,0,0,1.21,1.03,Empate,Não,média,63.5,59.2,organização defensiva e contra-ataque,"bloco baixo, luta física e transições",OUAHBI Mohamed,MIGNE Sebastien,VINCIC Slavko,SVN,ATKINS Kyle,BARREIRO Carlos,KWIATKOWSKI Tomasz,5.0,5.1,3,2
51,Fase de grupos,B,2026-06-24,12:00,BC Place,Vancouver,Canadá,Suíça,Canadá,SUI,CAN,2-0,2,0,1.17,1.28,Suíça,Não,baixa,70.1,67.0,"sistema flexível, bloco médio e eficiência","pressão alta, verticalidade e transição rápida",YAKIN Murat,MARSCH Jesse,WILTON SAMPAIO,BRA,BARWEGEN Micheal,BASHEVKIN Isaak,LARA Juan,4.9,5.1,3,3
52,Fase de grupos,B,2026-06-24,12:00,Lumen Field,Seattle,Estados Unidos,Bósnia e Herzegovina,Catar,BIH,QAT,2-2,2,2,0.91,1.34,Empate,Não,alta,55.0,66.6,"jogo direto, experiência e cruzamentos","posse, saída curta e controle territorial",BARBAREZ Sergej,LOPETEGUI Julen,ZWAYER Felix,GER,KUPSIK Adam,BEIGI Mahbod,MASTRANGELO Hernan,8.2,6.4,3,4
53,Fase de grupos,A,2026-06-24,19:00,Estadio Azteca,Mexico City,México,Tchéquia,México,CZE,MEX,0-1,0,1,0.96,1.39,México,Não,alta,61.8,67.9,"jogo físico, direto e forte em bolas paradas","pragmático, competitivo, transição e bola parada",KOUBEK Miroslav,AGUIRRE Javier,AL JASSIM Abdulrahman,QAT,BELATTI Juan Pablo,BESWICK Gary,MIRANDA Erick,7.9,6.7,3,5
54,Fase de grupos,A,2026-06-24,19:00,Estadio BBVA,Monterrey,México,África do Sul,Coreia do Sul,RSA,KOR,1-0,1,0,1.04,1.3,África do Sul,Não,média,59.3,67.4,bloco compacto e contra-ataque,"intensidade, velocidade e jogo pelos lados",BROOS Hugo,HONG Myungbo,AL TURAIS Khalid,KSA,BINDONI Daniele,BISGUERRA Marco,MOHAMMED OBAID KHADIM,4.8,6.1,3,2
55,Fase de grupos,E,2026-06-25,16:00,Lincoln Financial Field,Philadelphia,Estados Unidos,Curaçao,Costa do Marfim,CUW,CIV,1-0,1,0,1.05,1.24,Curaçao,Não,média,59.5,63.2,"pragmatismo, bloco compacto e experiência","força física, transição e ataques pelos lados",ADVOCAAT Dick,FAE Emerse,ARAKI Yusuke,JPN,BRINSI Zakaria,BRUNO BOSCHILIA,PACHECO Guillermo,5.8,5.0,1,3
56,Fase de grupos,E,2026-06-25,16:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Equador,Alemanha,ECU,GER,1-1,1,1,0.93,1.2,Empate,Não,média,61.9,69.5,"pressão, intensidade e laterais altos","pressão, rotação posicional e jogo entrelinhas",BECCACECE Sebastian,NAGELSMANN Julian,ARTAN Omar Abdulkadir,SOM,BRUNO PIRES,BURT Stuart,SAN Fedayi,6.5,5.8,4,4
57,Fase de grupos,F,2026-06-25,18:00,AT&T Stadium,Dallas,Estados Unidos,Japão,Suécia,JPN,SWE,2-0,2,0,1.3,0.96,Japão,Não,alta,67.6,58.8,"adaptação, intensidade e transição técnica","flexibilidade, construção e ocupação racional",MORIYASU Hajime,POTTER Graham,ATCHO Pierre,GAB,CARDOZO Eduardo,CHADE Gabriel,SOTO Juan,7.6,7.7,5,4
58,Fase de grupos,F,2026-06-25,18:00,Arrowhead Stadium,Kansas City,Estados Unidos,Tunísia,Países Baixos,TUN,NED,0-1,0,1,0.83,1.4,Países Baixos,Não,alta,56.1,69.1,"bloco compacto, físico e contra-ataque",construção controlada e variação com linha de 3,RENARD Herve,KOEMAN Ronald,BARTON Ivan,SLV,DANILO MANIS,DANOS Nicolas,TOSKI Rodolpho,5.8,4.5,3,3
59,Fase de grupos,D,2026-06-25,19:00,SoFi Stadium,Los Angeles,Estados Unidos,Turquia,Estados Unidos,TUR,USA,0-0,0,0,1.05,1.28,Empate,Não,média,69.0,71.0,posse vertical e talento entrelinhas,"pressão, energia e 4-2-3-1 agressivo",MONTELLA Vincenzo,POCHETTINO Mauricio,BEIDA Dahane,MTN,DE ALMEIDA Stephane,DE VRIES Jan,VAN DRIESSCHE Bram,6.9,5.9,3,4
60,Fase de grupos,D,2026-06-25,19:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Paraguai,Austrália,PAR,AUS,1-4,1,4,1.09,1.11,Austrália,Não,baixa,59.7,60.9,"bloco baixo/médio, duelos e jogo reativo","organização, força física e jogo direto",ALFARO Gustavo,POPOVIC Tony,BENITEZ Juan Gabriel,PAR,DEL YESSO Maximiliano,DIETZ Christian,VILLARREAL Armando,6.5,5.3,4,3
61,Fase de grupos,I,2026-06-26,15:00,Gillette Stadium,Boston,Estados Unidos,Noruega,França,NOR,FRA,0-0,0,0,1.12,1.14,Empate,Não,baixa,64.3,63.8,"verticalidade, jogo para Haaland e força aérea","pragmatismo, transição e superioridade física",SOLBAKKEN Stale,DESCHAMPS Didier,CALDERON Juan,CRC,DITSOGA Boris,ENGAN Jan Erik,AL-MARRI Khamis,6.2,7.5,3,3
62,Fase de grupos,I,2026-06-26,15:00,BMO Field,Toronto,Canadá,Senegal,Iraque,SEN,IRQ,1-3,1,3,1.31,0.96,Iraque,Não,alta,66.0,57.5,"potência, transição e bloco atlético","organização, jogo direto e competitividade",THIAW Pape,ARNOLD Graham,CLAUS Raphael,BRA,FIGUEIREDO Rodrigo,GAYNULLIN Timur,ALSHEHRI Abdullah,8.2,4.9,5,4
