grupo,selecao,selecao_xlsx,codigo,tecnico,estilo_tecnico,sistema_base,intensidade,posse,pressao,risco_tatico,jogadores,media_proxy,top11_proxy,top18_proxy,ataque_score,meio_score,defesa_score,goleiro_score,caps_media,caps_total,gols_selecao_total,experiencia_score,intensidade_valor,posse_valor,pressao_valor,forca_modelo_0_100
K,Colômbia,Colombia,COL,LORENZO Nestor,"equilíbrio, lado forte ofensivo e transição",4-2-3-1 / 4-3-3,alta,média-alta,média-alta,dependência de criatividade entrelinhas,26,6.31,7.81,7.07,5.03,6.4,6.0,6.13,41.3,1073,112,8.65,8.0,6.8,6.8,67.8
H,Cabo Verde,Cabo Verde,CPV,BUBISTA,"organização, transição e agressividade física",4-3-3 / 4-2-3-1,alta,baixa-média,média,pouca profundidade de elenco,26,5.68,6.8,6.26,4.3,5.68,5.07,5.7,33.0,857,77,8.14,8.0,4.0,5.0,59.3
L,Croácia,Croatia,CRO,DALIC Zlatko,"controle de meio, experiência e ritmo cadenciado",4-3-3,média,alta,situacional,velocidade defensiva em transição,26,6.36,7.95,7.05,5.15,6.8,5.74,6.07,45.8,1192,156,8.88,5.0,8.0,5.0,68.2
E,Curaçao,Curaçao,CUW,ADVOCAAT Dick,"pragmatismo, bloco compacto e experiência",4-2-3-1 / 5-4-1,média,baixa,baixa,sofre sem bola por longos períodos,26,5.51,6.75,6.15,4.79,6.61,4.7,5.83,25.7,667,73,7.58,5.0,3.0,3.0,59.5
A,Tchéquia,Czechia,CZE,KOUBEK Miroslav,"jogo físico, direto e forte em bolas paradas",3-4-3 / 4-2-3-1,alta,baixa-média,média,criação contra defesa postada,26,5.81,7.11,6.59,4.99,5.74,5.34,5.1,29.6,770,100,7.9,8.0,4.0,5.0,61.8
E,Equador,Ecuador,ECU,BECCACECE Sebastian,"pressão, intensidade e laterais altos",4-3-3 / 3-4-3,muito alta,média-alta,alta,faltas e cartões em duelos físicos,26,5.77,7.14,6.5,4.64,5.41,5.66,4.83,31.4,816,96,8.03,9.0,6.8,8.0,61.9
G,Egito,Egypt,EGY,HOSSAM HASSAN,"verticalidade, Salah como foco e bloco competitivo",4-3-3 / 4-2-3-1,média-alta,média,situacional,dependência do lado direito ofensivo,26,5.44,7.06,6.25,4.79,5.1,4.83,4.95,33.2,864,132,8.16,6.8,5.0,5.0,59.4
L,Inglaterra,England,ENG,TUCHEL Thomas,"controle, pressão em momentos e qualidade entrelinhas",4-2-3-1 / 3-4-2-1,alta,alta,média-alta,encaixe entre muitos jogadores criativos,26,6.03,7.93,6.97,5.49,6.29,5.06,6.5,33.4,869,153,8.17,8.0,8.0,6.8,67.2
H,Espanha,Spain,ESP,DE LA FUENTE Luis,"posse, pressão pós-perda e amplitude",4-3-3,alta,muito alta,alta,vulnerabilidade a transições longas,26,6.28,7.83,7.14,5.79,7.41,4.93,6.57,29.8,774,120,7.91,8.0,9.0,8.0,68.9
I,França,France,FRA,DESCHAMPS Didier,"pragmatismo, transição e superioridade física",4-2-3-1 / 4-3-3,alta,média,situacional,excesso de dependência de transição,26,6.05,7.23,6.66,5.4,6.13,5.27,5.77,32.0,832,106,8.07,8.0,5.0,5.0,63.8
E,Alemanha,Germany,GER,NAGELSMANN Julian,"pressão, rotação posicional e jogo entrelinhas",4-2-3-1 / 3-4-2-1,alta,alta,alta,linha defensiva exposta,26,6.52,8.12,7.36,4.92,6.65,6.03,6.3,34.3,892,115,8.23,8.0,8.0,8.0,69.5
L,Gana,Ghana,GHA,CARLOS QUEIROZ,"bloco baixo, disciplina defensiva e contra-ataque",4-3-3 / 4-5-1,média-alta,baixa-média,baixa-média,pouca criação sustentada,26,5.11,6.47,5.77,4.56,5.63,4.51,4.93,23.1,600,69,7.35,6.8,4.0,4.0,56.1
C,Haiti,Haiti,HAI,MIGNE Sebastien,"bloco baixo, luta física e transições",4-4-2 / 5-4-1,alta,baixa,baixa,defesa sob volume alto de finalizações,26,5.4,7.05,6.25,4.89,4.36,5.03,6.7,26.0,675,116,7.61,8.0,3.0,3.0,59.2
G,Irã,IR Iran,IRN,GHALEHNOY Amir,"defesa compacta, jogo físico e bola parada",4-2-3-1,média,baixa-média,baixa,controle de posse adversário,26,5.82,7.63,6.81,4.62,6.1,5.51,5.57,46.4,1207,150,8.91,5.0,4.0,3.0,64.1
I,Iraque,Iraq,IRQ,ARNOLD Graham,"organização, jogo direto e competitividade",4-2-3-1 / 4-4-2,média-alta,baixa-média,média,dificuldade sob pressão alta,26,5.24,6.68,5.99,4.55,5.04,4.73,5.73,33.1,861,89,8.15,6.8,4.0,5.0,57.5
J,Jordânia,Jordan,JOR,SELLAMI Jamal,bloco compacto e transição,3-4-3 / 5-4-1,alta,baixa,baixa-média,profundidade de elenco e manutenção de ritmo,26,5.41,7.23,6.36,4.55,5.11,4.94,5.5,42.1,1095,92,8.69,8.0,3.0,4.0,60.2
F,Japão,Japan,JPN,MORIYASU Hajime,"adaptação, intensidade e transição técnica",4-2-3-1 / 3-4-2-1,alta,média-alta,média-alta,duelos físicos aéreos,26,6.18,7.9,7.15,5.08,7.34,5.26,5.23,32.9,855,120,8.13,8.0,6.8,6.8,67.6
A,Coreia do Sul,Korea Republic,KOR,HONG Myungbo,"intensidade, velocidade e jogo pelos lados",4-2-3-1,alta,média,média-alta,espaço nas laterais,26,6.16,8.05,7.19,5.1,6.79,4.91,6.2,38.7,1006,144,8.5,8.0,5.0,6.8,67.4
H,Arábia Saudita,Saudi Arabia,KSA,DONIS Georgios,"intensidade, meio-campo técnico e transição",4-3-3 / 4-2-3-1,alta,média,média-alta,defesa em campo aberto,26,5.74,7.35,6.57,5.17,5.7,5.12,5.97,36.9,959,97,8.39,8.0,5.0,6.8,63.4
C,Marrocos,Morocco,MAR,OUAHBI Mohamed,organização defensiva e contra-ataque,4-3-3 / 4-1-4-1,alta,média,média,jogos em que precisa propor,26,5.72,7.65,6.67,4.61,5.81,5.18,6.23,29.0,754,107,7.85,8.0,5.0,5.0,63.5
A,México,Mexico,MEX,AGUIRRE Javier,"pragmático, competitivo, transição e bola parada",4-3-3 / 4-2-3-1,alta,média,média-alta,controle emocional em mata-mata,26,6.38,7.75,7.19,5.01,5.78,6.61,5.93,48.8,1269,123,9.02,8.0,5.0,6.8,67.9
F,Países Baixos,Netherlands,NED,KOEMAN Ronald,construção controlada e variação com linha de 3,3-4-2-1 / 4-3-3,média-alta,alta,média-alta,espaço nas costas dos alas,26,6.58,8.05,7.33,5.51,6.08,6.19,5.6,35.0,909,162,8.27,6.8,8.0,6.8,69.1
I,Noruega,Norway,NOR,SOLBAKKEN Stale,"verticalidade, jogo para Haaland e força aérea",4-3-3 / 4-4-2,média-alta,média,média,previsibilidade ofensiva,26,6.11,7.51,6.82,5.05,5.94,5.31,6.27,32.0,833,127,8.08,6.8,5.0,5.0,64.3
G,Nova Zelândia,New Zealand,NZL,BAZELEY Darren,bloco baixo/médio e bola aérea,4-4-2 / 5-4-1,média,baixa,baixa,baixa criação em posse,26,5.68,7.02,6.46,4.62,5.66,5.19,4.93,33.2,864,109,8.16,5.0,3.0,3.0,59.9
L,Panamá,Panama,PAN,CHRISTIANSEN Thomas,"5-4-1, bloco baixo e contra-ataque",5-4-1,alta,baixa,baixa,sustentar pressão adversária,26,6.57,7.83,7.33,5.12,7.3,6.11,5.83,60.4,1571,127,9.51,8.0,3.0,3.0,69.2
D,Paraguai,Paraguay,PAR,ALFARO Gustavo,"bloco baixo/médio, duelos e jogo reativo",4-4-2 / 4-2-3-1,alta,baixa-média,média,pouca criatividade em posse,26,5.57,6.95,6.27,4.33,5.89,5.32,4.6,28.3,737,55,7.8,8.0,4.0,5.0,59.7
K,Portugal,Portugal,POR,MARTINEZ Roberto,"posse, amplitude e talento associativo",4-3-3 / 3-4-3,alta,alta,média-alta,equilíbrio entre estrelas ofensivas,26,6.63,8.01,7.41,5.87,7.32,5.96,5.53,45.8,1192,264,8.88,8.0,8.0,6.8,71.1
B,Catar,Qatar,QAT,LOPETEGUI Julen,"posse, saída curta e controle territorial",4-3-3 / 4-2-3-1,média,alta,média,defesa em transição,26,5.88,7.83,6.91,5.38,6.08,5.29,5.77,62.2,1618,217,9.58,5.0,8.0,5.0,66.6
A,África do Sul,South Africa,RSA,BROOS Hugo,bloco compacto e contra-ataque,4-2-3-1,alta,baixa-média,média,criação contra favoritos,26,5.23,6.76,6.01,4.91,6.72,4.4,5.33,21.8,566,68,7.22,8.0,4.0,5.0,59.3
C,Escócia,Scotland,SCO,CLARKE Steve,"linha de 5, intensidade e bola parada",3-4-2-1 / 5-4-1,alta,baixa-média,média,saída sob pressão,26,6.27,7.89,7.22,5.17,7.17,5.92,6.43,39.3,1021,99,8.53,8.0,4.0,5.0,68.9
I,Senegal,Senegal,SEN,THIAW Pape,"potência, transição e bloco atlético",4-3-3 / 4-2-3-1,alta,média,média-alta,organização contra posse longa,26,6.06,7.59,6.87,5.39,6.47,5.22,5.87,40.3,1048,134,8.59,8.0,5.0,6.8,66.0
B,Suíça,Switzerland,SUI,YAKIN Murat,"sistema flexível, bloco médio e eficiência",3-4-2-1 / 4-2-3-1,média-alta,média,média,ritmo ofensivo contra blocos baixos,26,6.53,8.31,7.47,5.6,6.66,5.81,5.43,45.4,1180,131,8.86,6.8,5.0,5.0,70.1
F,Suécia,Sweden,SWE,POTTER Graham,"flexibilidade, construção e ocupação racional",3-4-2-1 / 4-2-3-1,média,média-alta,situacional,adaptação rápida ao elenco,26,5.37,6.97,6.11,4.82,5.51,4.66,5.2,21.7,563,72,7.21,5.0,6.8,5.0,58.8
F,Tunísia,Tunisia,TUN,RENARD Herve,"bloco compacto, físico e contra-ataque",4-4-2 / 5-4-1,média-alta,baixa,baixa-média,mudança recente de comando,26,5.09,6.71,5.91,4.09,5.35,4.73,4.77,24.2,628,45,7.45,6.8,3.0,4.0,56.1
D,Turquia,Türkiye,TUR,MONTELLA Vincenzo,posse vertical e talento entrelinhas,4-2-3-1 / 4-3-3,alta,média-alta,média-alta,controle defensivo,26,6.42,7.65,7.06,5.31,7.04,6.39,6.1,39.3,1021,100,8.53,8.0,6.8,6.8,69.0
H,Uruguai,Uruguay,URU,BIELSA Marcelo,"pressão homem a homem, ritmo alto e verticalidade",4-3-3 / 4-2-3-1,muito alta,média,alta,cartões e espaço às costas,26,6.22,7.6,6.94,4.74,6.52,5.69,6.4,36.8,957,77,8.39,9.0,5.0,8.0,66.3
D,Estados Unidos,USA,USA,POCHETTINO Mauricio,"pressão, energia e 4-2-3-1 agressivo",4-2-3-1,alta,média-alta,alta,erros na primeira fase de construção,26,6.76,7.96,7.47,5.97,6.88,6.17,5.73,38.8,1009,131,8.51,8.0,6.8,8.0,71.0
K,Uzbequistão,Uzbekistan,UZB,CANNAVARO Fabio,organização defensiva e transição cautelosa,4-2-3-1 / 5-4-1,média,baixa-média,baixa-média,produção ofensiva contra favoritos,26,5.55,7.15,6.38,4.63,5.88,4.66,4.77,38.0,988,120,8.46,5.0,4.0,4.0,59.9
